S. No,Producto,Código,Garantía,Especificações Técnicas
29,CORTACÉSPED GASOLINA,BLM530RA,12 Meses,"

Motor : 166 Cc Gasolina
Anchura De Corte : 21""
Altura De Corte : 30-80 Mm (6 opciones de Ajuste Central)
Opciones De Salida: Salida Trasera, Recogedor, Salida Lateral Y Reciclador 4 in 1
Capacidad Del Recogedor: 70 Litros
Tipo De Propulsión: Manual
Manillar : Manillar Engomado
Ruedas : Delanteras De 8"" Y Traseras De 10"""
30,CORTACÉSPED GASOLINA,BLM530RTA,12 Meses,"

Motor : 166 Cc Gasolina
Anchura De Corte : 21""
Altura De Corte : 20-80 Mm (8 Opcciones De Ajuste Central)
Opciones De Salida: Salida Trasera, Recogedor, Salida Lateral Y Reciclador
Capacidad Del Recogedor: 70 Litros
Tipo De Propulsión: Autopropulsada
Manillar : Manillar Engomado
Ruedas : Delanteras De 8"" Y Traseras De 10"""
31,CORTACÉSPED GASOLINA,BLM560RA,12 Meses,"

Motor : 166 Cc Gasolina
Anchura De Corte : 22""
Altura De Corte : 25-75 mm (7 Opcciones De Ajuste Central)
Opciones De Salida: Salida Trasera, Recogedor, Salida Lateral Y Reciclador
Capacidad Del Recogedor: 65 Litros
Tipo De Propulsión: Manual
Manillar : Manillar Engomado
Ruedas : Delanteras De 8"" Y Traseras De 10"""
32,CORTACÉSPED GASOLINA,BLM560RTA,12 Meses,"

Motor : 166 Cc Gasolina
Anchura De Corte : 22""
Altura De Corte : 25-75 Mm (7 Opcciones De Ajuste Central)
Opciones De Salida: Salida Trasera, Recogedor, Salida Lateral Y Reciclador
Capacidad Del Recogedor: 65 Litros
Tipo De Propulsión: Autopropulsada
Manillar : Manillar Engomado
Ruedas : Delanteras De 8"" Y Traseras De 10"""
33,LAVADORA ELÉCTRICA,BEPW1450A1,12 Meses,"
Motor: 1200W - 110V - 50/60Hz - motor de escobilhas
Pression nominal: 65Bar
Pression Max: 100Bar
Caudal nominal: 5,5 l/min"
34,LAVADORA ELÉCTRICA,BEPW1450A2,12 Meses,"
Motor: 1200W - 220V - 50/60Hz - motor de escobilhas
Pression nominal: 65Bar
Pression Max: 100Bar
Caudal nominal: 5,5 l/min"
35,LAVADORA ELÉCTRICA,BEPW1850A1,12 Meses,"
Motor: 1500W - 110V - 50/60Hz - motor de escobilhas
Pression nominal: 90Bar
Presion max: 130Bar
Caudal nominal: 5,5 l/min
"
36,LAVADORA ELÉCTRICA,BEPW1850A2,12 Meses,"
Motor: 1500W - 220V - 50/60Hz - motor de escobilhas
Pression nominal: 90Bar
Presion max: 130Bar
Caudal nominal: 5,5 l/min
"
37,LAVADORA ELÉCTRICA,BEPW2185A-1,12 Meses,"
Motor: 1800W - 110V - 50/60Hz - motor de escobilhas
Presion nominal: 110Bar
Presion Max: 150Bar
Caudal nominal: 6,0 l/min
"
38,LAVADORA ELÉCTRICA,BEPW2185A-2,12 Meses,"
Motor: 1800W - 220V - 60Hz - Brush type
Presion nominal: 110Bar
Presion Max: 150Bar
Caudal nominal: 6,0 l/min
"
39,MOTOR DE GASOLINA,BE40A,12 Meses,"

Motor : 4,0 HP, 4 Tiempos, 113cc
Tecnología : OHV, Válvulas a la cabeza
Sistema de refrigeracion : Aire
Diámetro del cilindro : 60*40 mm
Potencia máxima : 4 HP
Capacidad tanque combustible : 2,0 Litros
Capacidad deposito aceite : 350 ml
Sistema de arranque : Retráctil"
40,MOTOR DE GASOLINA,BE70A,12 Meses,"

Motor : 7,0 HP, 4 Tiempos, 210cc
Tecnología : OHV, Válvulas a la cabeza
Sistema de refrigeracion : Aire
Diámetro del cilindro : 70*54 mm
Potencia máxima : 7 HP
Capacidad tanque combustible : 3,6 Litros
Capacidad deposito aceite : 600 ml
Sistema de arranque : Retráctil"
41,MOTOR DE DIESEL,BDE50A,12 Meses,"
Motor : 211cc, 4 Tiempos
Sistema de refrigeracion : Aire
Diámetro del cilindro : 70 mm
Potencia nominal: 2.8kW / 3,75CV
Potencia máxima : 3,3kW / 4,5CV
Capacidad tanque combustible : 2,5 Litros
Capacidad deposito aceite : 750 ml
Sistema de arranque : Manual Retráctil
Arranque Manual"
42,MOTOR DE DIESEL,BDE70A,12 Meses,"
Motor : 296cc, 4 Tiempos
Sistema de refrigeracion : Aire
Diámetro del cilindro : 78 mm
Potencia nominal: 4.0kW / 5,4CV
Potencia máxima : 4,8kW / 6,5CV
Capacidad tanque combustible : 3,5 Litros
Capacidad deposito aceite : 1100 ml
Sistema de arranque : Manual Retráctil
Arranque Manual"
43,MOTOR DE DIESEL,BDE100A,12 Meses,"
Motor : 456cc, 4 Tiempos
Sistema de refrigeracion : Aire
Diámetro del cilindro : 88 mm
Potencia nominal: 6.9kW / 9,3CV
Potencia máxima : 7,8kW / 10,5CV
Capacidad tanque combustible : 5,5 Litros
Capacidad deposito aceite : 1650 ml
Sistema de arranque : Manual Retráctil
Arranque Manual"
44,MOTOR DE DIESEL,BDE100EA,12 Meses,"
Motor : 456cc, 4 Tiempos
Sistema de refrigeracion : Aire
Diámetro del cilindro : 88 mm
Potencia nominal: 6.9kW / 9,3CV
Potencia máxima : 7,8kW / 10,5CV
Capacidad tanque combustible : 5,5 Litros
Capacidad deposito aceite : 1650 ml
Sistema de arranque : Electrica / Manual Retráctil
Arranque Eléctrico"
45,MOTOR ELÉCTRICO,BEE10HA-DS60,12 Meses,"
Potencia: 1.0HP / 0,75kW
Voltage: 110 / 220V - 60Hz
Monofásico
2 polos - alta velocidad
Bobinado en cobre
Medio par de arranque "
46,MOTOR ELÉCTRICO,BEE15HA-DS60,12 Meses,"
Potencia: 1.5HP / 1,1kW
Voltage: 110 / 220V - 60Hz
Monofásico
2 polos - alta velocidad
Bobinado en cobre
Medio par de arranque "
47,MOTOR ELÉCTRICO,BEE20HA-DS60,12 Meses,"
Potencia: 2.0HP / 1,5kW
Voltage: 110 / 220V - 60Hz
Monofásico
2 polos - alta velocidad
Bobinado en cobre
Medio par de arranque "
